	db	000h,001h,000h		; 01 hataku
	db	000h,001h,000h		; 02
	db	000h,001h,000h		; 03
	db	000h,001h,000h		; 04
	db	000h,001h,000h		; 05
	db	000h,001h,000h		; 06
	db	000h,001h,000h		; 07
	db	000h,001h,000h		; 08
	db	000h,001h,000h		; 09
	db	000h,001h,000h		; 10
	db	000h,001h,000h		; 11
	db	000h,001h,000h		; 12
	db	000h,001h,000h		; 13
	db	000h,001h,000h		; 14
	db	000h,001h,000h		; 15
	db	000h,001h,000h		; 16
	db	000h,001h,000h		; 17
	db	000h,001h,000h		; 18
	db	000h,001h,000h		; 19
	db	000h,001h,000h		; 20
	db	000h,001h,000h		; 21
	db	000h,001h,000h		; 22
	db	000h,001h,000h		; 23
	db	000h,001h,000h		; 24
	db	000h,001h,000h		; 25
	db	000h,001h,000h		; 26
	db	000h,001h,000h		; 27
	db	000h,001h,000h		; 28
	db	000h,001h,000h		; 29
	db	000h,001h,000h		; 30
	db	000h,001h,000h		; 31
	db	000h,001h,000h		; 32
	db	000h,001h,000h		; 33
	db	000h,001h,000h		; 34
	db	000h,001h,000h		; 35
	db	000h,001h,000h		; 36
	db	000h,001h,000h		; 37
	db	000h,001h,000h		; 38
	db	000h,001h,000h		; 39
	db	000h,001h,000h		; 40
	db	000h,001h,000h		; 41
	db	000h,001h,000h		; 42
	db	000h,001h,000h		; 43
	db	000h,001h,000h		; 44
	db	000h,001h,000h		; 45
	db	000h,001h,000h		; 46
	db	000h,001h,000h		; 47
	db	000h,001h,000h		; 48
	db	000h,001h,000h		; 49
	db	000h,001h,000h		; 50
	db	000h,001h,000h		; 51
	db	000h,001h,000h		; 52
	db	000h,001h,000h		; 53
	db	000h,001h,000h		; 54
	db	000h,001h,000h		; 55
	db	000h,001h,000h		; 56
	db	000h,003h,000h		; 57
	db	000h,001h,000h		; 58
	db	000h,001h,000h		; 59
	db	000h,001h,000h		; 60
	db	000h,001h,000h		; 61
	db	000h,001h,000h		; 62
	db	000h,001h,000h		; 63
	db	000h,001h,000h		; 64
	db	000h,001h,000h		; 65
	db	000h,001h,000h		; 66
	db	000h,001h,000h		; 67
	db	000h,001h,000h		; 68
	db	000h,002h,050h		; 69
	db	000h,001h,000h		; 70
	db	000h,001h,000h		; 71
	db	000h,001h,000h		; 72
	db	000h,001h,000h		; 73
	db	000h,001h,000h		; 74
	db	000h,001h,000h		; 75
	db	000h,001h,000h		; 76
	db	000h,001h,000h		; 77
	db	000h,001h,000h		; 78
	db	000h,001h,000h		; 79
	db	000h,001h,000h		; 80
	db	000h,001h,000h		; 81
	db	000h,001h,000h		; 82
	db	000h,001h,000h		; 83
	db	000h,001h,000h		; 84
	db	000h,001h,000h		; 85
	db	000h,001h,000h		; 86
	db	000h,001h,000h		; 87
	db	000h,001h,000h		; 88
	db	000h,001h,000h		; 89
	db	000h,001h,000h		; 90
	db	000h,001h,000h		; 91
	db	000h,001h,000h		; 92
	db	000h,001h,000h		; 93
	db	000h,001h,000h		; 94
	db	000h,001h,000h		; 95
	db	000h,001h,000h		; 96
	db	000h,001h,000h		; 97
	db	000h,001h,000h		; 98
	db	000h,001h,000h		; 99
	db	000h,001h,000h		; 100
	db	000h,001h,000h		; 101
	db	000h,001h,000h		; 102
	db	000h,001h,000h		; 103
	db	000h,001h,000h		; 104
	db	000h,001h,000h		; 105
	db	000h,001h,000h		; 106
	db	000h,001h,000h		; 107
	db	000h,001h,000h		; 108
	db	000h,001h,000h		; 109
	db	000h,001h,000h		; 110
	db	000h,001h,000h		; 111
	db	000h,001h,000h		; 112
	db	000h,001h,000h		; 113
	db	000h,001h,000h		; 114
	db	000h,001h,000h		; 115
	db	000h,001h,000h		; 116
	db	000h,001h,000h		; 117
	db	000h,001h,000h		; 118
	db	000h,001h,000h		; 119
	db	000h,002h,000h		; 120
	db	000h,001h,000h		; 121
	db	000h,001h,000h		; 122
	db	000h,001h,000h		; 123
	db	000h,001h,000h		; 124
	db	000h,001h,000h		; 125
	db	000h,001h,000h		; 126
	db	000h,001h,000h		; 127
	db	000h,001h,000h		; 128
	db	000h,001h,000h		; 129
	db	000h,001h,000h		; 130
	db	000h,001h,000h		; 131
	db	000h,001h,000h		; 132
	db	000h,001h,000h		; 133
	db	000h,001h,000h		; 134
	db	000h,003h,000h		; 135
	db	000h,001h,000h		; 136
	db	000h,001h,000h		; 137
	db	000h,001h,000h		; 138
	db	000h,001h,000h		; 139
	db	000h,001h,000h		; 140
	db	000h,001h,000h		; 141
	db	000h,001h,000h		; 142
	db	000h,001h,000h		; 143
	db	000h,001h,000h		; 144
	db	000h,001h,000h		; 145
	db	000h,001h,000h		; 146
	db	000h,001h,000h		; 147
	db	000h,001h,000h		; 148
	db	000h,001h,000h		; 149
	db	000h,001h,000h		; 150
	db	000h,001h,000h		; 151
	db	000h,001h,000h		; 152
	db	000h,001h,000h		; 153
	db	000h,001h,000h		; 154
	db	000h,001h,000h		; 155
	db	000h,001h,000h		; 156
	db	000h,001h,000h		; 157
	db	000h,001h,000h		; 158
	db	000h,001h,000h		; 159
	db	000h,001h,000h		; 160
	db	000h,001h,000h		; 161
	db	000h,001h,000h		; 162
	db	000h,002h,000h		; 163
	db	000h,001h,000h		; 164
