; 06/06/98	16:45:40
road_1$:
	db	25
	db	03,36
	db	04,36
	db	02,165
	db	03,165
	db	02,36
	db	03,36
	db	05,36
	db	04,165
	db	06,36
	db	07,36
	db	00
road_2$:
	db	25
	db	03,165
	db	03,36
	db	04,165
	db	04,3
	db	04,15
	db	05,36
	db	06,3
	db	06,15
	db	07,36
	db	07,36
	db	00
road_22$:
	db	25
	db	02,3
	db	02,15
	db	03,57
	db	03,165
	db	04,3
	db	04,15
	db	05,57
	db	02,5
	db	04,5
	db	06,5
	db	00
d1r1f1$:
	db	25
	db	03,123
	db	04,124
	db	04,123
	db	05,123
	db	04,36
	db	06,36
	db	06,123
	db	06,124
	db	08,36
	db	09,150
	db	00
road_3$:
	db	20
	db	08,5
	db	09,5
	db	09,57
	db	10,5
	db	08,96
	db	10,165
	db	10,96
	db	12,165
	db	11,5
	db	12,5
	db	00
d2r1f1$:
	db	10
	db	08,107
	db	09,107
	db	10,169
	db	06,107
	db	07,107
	db	10,107
	db	10,169
	db	11,107
	db	12,96
	db	11,4
	db	00
d2r1f2$:
	db	10
	db	08,107
	db	09,107
	db	10,107
	db	10,169
	db	11,169
	db	11,107
	db	09,109
	db	11,109
	db	10,4
	db	12,4
	db	00
d2r1f3$:
	db	10
	db	10,107
	db	11,169
	db	13,109
	db	11,107
	db	11,107
	db	12,107
	db	13,107
	db	09,4
	db	11,4
	db	13,4
	db	00
road_4$:
	db	20
	db	08,5
	db	09,5
	db	09,57
	db	10,5
	db	08,96
	db	10,165
	db	10,96
	db	12,165
	db	11,5
	db	12,5
	db	00
road_24$:
	db	25
	db	12,185
	db	12,188
	db	13,36
	db	14,185
	db	14,188
	db	15,36
	db	13,65
	db	16,65
	db	17,36
	db	17,150
	db	00
road_25$:
	db	15
	db	12,185
	db	12,188
	db	13,36
	db	14,185
	db	14,188
	db	15,36
	db	13,65
	db	16,65
	db	17,36
	db	17,150
	db	00
road_9$:
	db	15
	db	16,3
	db	16,15
	db	18,165
	db	18,3
	db	18,15
	db	17,5
	db	18,167
	db	18,168
	db	20,166
	db	19,35
	db	00
road_5$:
	db	15
	db	15,36
	db	14,165
	db	07,148
	db	16,36
	db	16,165
	db	17,36
	db	17,150
	db	03,100
	db	05,100
	db	07,100
	db	00
road_6$:
	db	15
	db	15,36
	db	14,165
	db	07,148
	db	16,36
	db	16,165
	db	17,36
	db	17,150
	db	03,100
	db	05,100
	db	07,100
	db	03
	db	15,47
	db	15,47
	db	15,47
	db	15,47
	db	15,47
	db	15,47
	db	15,47
	db	15,47
	db	15,128
	db	20,128
road_11$:
	db	15
	db	16,36
	db	15,165
	db	18,36
	db	15,48
	db	17,165
	db	17,48
	db	18,150
	db	20,150
	db	19,48
	db	17,166
	db	00
r10r2f1$:
	db	15
	db	15,107
	db	16,169
	db	17,107
	db	19,107
	db	18,169
	db	20,169
	db	21,107
	db	17,106
	db	19,106
	db	21,106
	db	00
d15r1f1$:
	db	15
	db	20,107
	db	17,169
	db	18,106
	db	21,107
	db	22,107
	db	21,169
	db	20,106
	db	14,34
	db	18,34
	db	22,34
	db	00
road_10$:
	db	15
	db	16,173
	db	18,165
	db	18,173
	db	20,173
	db	17,3
	db	17,15
	db	22,173
	db	20,166
	db	16,106
	db	18,106
	db	00
road_12$:
	db	15
	db	25,185
	db	25,188
	db	28,36
	db	28,150
	db	27,185
	db	27,188
	db	29,186
	db	29,189
	db	26,64
	db	31,64
	db	03
	db	15,37
	db	15,37
	db	15,37
	db	15,37
	db	15,37
	db	15,37
	db	15,37
	db	15,37
	db	15,8
	db	20,8
road_8$:
	db	15
	db	20,36
	db	22,36
	db	20,165
	db	15,148
	db	19,148
	db	24,150
	db	19,100
	db	24,100
	db	20,38
	db	27,38
	db	00
road_7$:
	db	15
	db	20,36
	db	22,36
	db	20,165
	db	15,148
	db	19,148
	db	24,150
	db	26,148
	db	19,100
	db	24,100
	db	24,100
	db	00
t5r2f1$:
	db	00
	db	00
t5r2f2$:
	db	00
	db	00
t5r2f3$:
	db	10
	db	20,25
	db	21,25
	db	22,25
	db	23,25
	db	24,25
	db	19,25
	db	18,25
	db	25,25
	db	20,147
	db	25,147
	db	00
t5r2f4$:
	db	10
	db	20,25
	db	21,25
	db	22,25
	db	23,25
	db	24,25
	db	19,25
	db	18,25
	db	25,25
	db	20,147
	db	25,147
	db	00
t5r2f5$:
	db	15
	db	22,25
	db	23,25
	db	24,25
	db	25,25
	db	26,25
	db	21,25
	db	20,17
	db	27,25
	db	22,147
	db	27,147
	db	00
t5r2f6$:
	db	15
	db	22,25
	db	23,25
	db	24,25
	db	25,25
	db	26,25
	db	21,25
	db	22,17
	db	27,25
	db	22,147
	db	27,147
	db	00
t5r2f7$:
	db	20
	db	24,25
	db	25,25
	db	26,25
	db	27,25
	db	28,25
	db	23,25
	db	24,17
	db	29,25
	db	24,147
	db	29,147
	db	00
road_13$:
	db	15
	db	25,185
	db	25,188
	db	28,150
	db	28,36
	db	27,185
	db	27,188
	db	29,186
	db	29,189
	db	26,64
	db	31,64
	db	03
	db	15,37
