; Map size	X = 10  Y = 9
; Page size	PX = 2  PY = 16
	db	013h,013h,013h,013h,001h,001h,013h,013h,013h,013h
	db	03bh,013h,013h,001h,001h,001h,001h,013h,013h,00fh
	db	029h,013h,013h,001h,001h,001h,001h,013h,013h,00fh
	db	029h,07dh,07dh,001h,001h,001h,001h,07dh,07dh,00fh
	db	029h,07dh,07dh,001h,001h,001h,001h,07dh,07dh,00fh
	db	029h,07dh,07dh,001h,001h,001h,001h,07dh,07dh,00fh
	db	029h,013h,013h,001h,001h,001h,001h,013h,013h,00fh
	db	029h,013h,013h,001h,001h,001h,001h,013h,013h,00fh
	db	029h,07dh,07dh,001h,001h,001h,001h,07dh,07dh,00fh
	db	029h,07dh,07dh,001h,001h,001h,001h,07dh,07dh,00fh
	db	029h,07dh,07dh,001h,001h,001h,001h,07dh,07dh,00fh
	db	029h,013h,013h,001h,001h,001h,001h,013h,013h,00fh
	db	029h,013h,013h,001h,001h,001h,001h,013h,013h,00fh
	db	029h,07dh,07dh,001h,001h,001h,001h,07dh,07dh,00fh
	db	029h,07dh,07dh,001h,001h,001h,001h,07dh,07dh,00fh
	db	029h,07dh,07dh,001h,001h,001h,001h,07dh,07dh,00fh
	db	029h,031h,001h,001h,001h,001h,001h,001h,00fh,00fh
	db	029h,031h,031h,001h,001h,00ah,00ah,001h,00fh,00fh
	db	029h,031h,03eh,03bh,01dh,01eh,00fh,001h,00fh,00fh
	db	029h,031h,028h,029h,065h,064h,00fh,001h,00fh,00fh
	db	029h,031h,028h,029h,065h,064h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,065h,064h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,065h,064h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,065h,064h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,065h,064h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,065h,064h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,065h,064h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,001h,066h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,01dh,064h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,065h,064h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,065h,064h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,065h,064h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,065h,064h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,065h,064h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,065h,064h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,065h,064h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,065h,064h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,066h,001h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,02fh,01eh,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,065h,064h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,065h,064h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,065h,064h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,065h,064h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,065h,064h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,065h,064h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,065h,064h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,065h,064h,032h,001h,00fh,00fh
	db	029h,031h,028h,029h,065h,064h,00fh,001h,00fh,00fh
	db	029h,031h,024h,025h,001h,001h,00fh,001h,00fh,00fh
	db	029h,031h,009h,001h,009h,001h,009h,001h,00fh,00fh
	db	025h,031h,031h,001h,001h,001h,001h,001h,00fh,00fh
	db	013h,013h,013h,001h,009h,001h,013h,013h,013h,013h
	db	013h,013h,013h,001h,001h,001h,013h,013h,013h,013h
	db	07dh,07dh,07dh,001h,001h,001h,07dh,07dh,07dh,07dh
	db	07dh,07dh,07dh,001h,001h,001h,07dh,07dh,07dh,07dh
	db	07dh,07dh,07dh,001h,001h,001h,07dh,07dh,07dh,07dh
	db	013h,013h,013h,001h,001h,001h,013h,013h,013h,013h
	db	013h,013h,013h,001h,001h,001h,013h,013h,013h,013h
	db	07dh,07dh,07dh,001h,001h,001h,07dh,07dh,07dh,07dh
	db	07dh,07dh,07dh,001h,001h,001h,07dh,07dh,07dh,07dh
	db	07dh,07dh,07dh,001h,001h,001h,07dh,07dh,07dh,07dh
	db	013h,013h,013h,001h,001h,001h,013h,013h,013h,013h
	db	013h,013h,013h,001h,001h,001h,013h,013h,013h,013h
	db	07dh,07dh,07dh,001h,001h,001h,07dh,07dh,07dh,07dh
	db	07dh,07dh,07dh,001h,001h,001h,07dh,07dh,07dh,07dh
	db	07dh,07dh,07dh,001h,001h,001h,07dh,07dh,07dh,07dh
	db	013h,013h,013h,001h,001h,001h,013h,013h,013h,013h
	db	013h,013h,013h,001h,001h,001h,013h,013h,013h,013h
	db	07dh,07dh,07dh,001h,001h,001h,07dh,07dh,07dh,07dh
	db	07dh,07dh,07dh,001h,001h,001h,07dh,07dh,07dh,07dh
	db	07dh,07dh,07dh,001h,001h,001h,07dh,07dh,07dh,07dh
	db	03fh,03bh,063h,026h,026h,062h,03eh,03fh,03fh,03fh


